town,flat_type,floor_area_sqm,remaining_lease_months,resale_price,distanceWithMrt,distanceWithRaffles,distanceWithGdPri
BEDOK,4 ROOM,87,1118,653000,500.6653685,9809.051291,1163.913286
BEDOK,4 ROOM,91,732,360000,622.5023772,8697.310193,1376.199098
BEDOK,4 ROOM,93,720,350000,534.1178782,9808.733956,1069.63995
BEDOK,4 ROOM,104,750,422000,780.5354613,10016.14996,828.4974486
BEDOK,4 ROOM,91,716,4.00E+05,177.8637102,9138.926251,1695.091415
BEDOK,4 ROOM,93,768,380000,617.0529535,8202.439343,906.8405477
BEDOK,4 ROOM,84,805,380000,350.1168631,8818.196537,1387.846556
BEDOK,4 ROOM,104,749,420000,721.8373387,10137.08007,762.5401141
BEDOK,4 ROOM,103,755,427000,427.1788598,10414.64574,539.1153135
BEDOK,4 ROOM,91,715,385000,177.8637102,9138.926251,1695.091415
BEDOK,4 ROOM,92,767,380000,575.3176492,8328.613909,1020.903889
BEDOK,4 ROOM,92,715,385000,258.8963681,9088.506765,1730.127867
BEDOK,4 ROOM,88,801,378000,510.2785298,8846.913437,1476.413497
BEDOK,4 ROOM,84,787,350000,385.7171902,8831.551617,1406.463426
BEDOK,4 ROOM,95,729,385000,446.9335622,8873.186799,1586.853859
BEDOK,4 ROOM,105,952,555000,497.7713803,11151.24816,430.7831773
BEDOK,4 ROOM,90,674,338000,955.8094014,10560.48684,949.1001223
BEDOK,4 ROOM,83,764,361000,943.4184636,11182.04507,113.5340734
BEDOK,4 ROOM,84,673,3.00E+05,920.6099571,10767.10551,658.9204233
BEDOK,4 ROOM,82,641,365000,425.1188561,9487.086781,1198.236034
BEDOK,4 ROOM,93,1143,640000,872.9332854,9374.787448,1178.213846
BEDOK,4 ROOM,91,733,4.00E+05,978.2575479,8969.328549,1593.39483
BEDOK,4 ROOM,93,1143,618000,831.0822396,9315.61679,1243.871174
BEDOK,4 ROOM,93,1143,653000,754.9143264,9367.056813,1201.224647
BEDOK,4 ROOM,93,1143,638000,844.6559886,9347.707168,1208.250013
BEDOK,4 ROOM,93,1143,610000,754.9143264,9367.056813,1201.224647
BEDOK,4 ROOM,88,1143,610000,807.5020372,9428.189603,1127.936713
BEDOK,4 ROOM,91,717,377000,681.4918512,9261.527453,1312.261305
BEDOK,4 ROOM,91,719,358000,781.2254571,9373.480717,1186.569115
BEDOK,4 ROOM,108,899,488000,358.8155095,8213.938064,794.1796435
BEDOK,4 ROOM,104,814,620000,288.148244,7945.223571,1263.197407
BEDOK,4 ROOM,92,682,380000,807.6817181,10799.73399,930.9222732
BEDOK,5 ROOM,112,1066,840000,429.0520236,10237.5979,902.9437835
BEDOK,5 ROOM,117,689,458000,853.3788324,10624.70776,468.6314565
BEDOK,5 ROOM,120,687,480000,950.8154054,11260.49449,624.6236903
BEDOK,5 ROOM,129,678,560000,460.8435711,11205.02128,1098.084903
